Item_Weight,Item_MRP,Item_Outlet_Sales,Item_Fat_Content_Regular,Item_Type_Breads,Item_Type_Breakfast,Item_Type_Canned,Item_Type_Dairy,Item_Type_Frozen Foods,Item_Type_Fruits and Vegetables,Item_Type_Hard Drinks,Item_Type_Health and Hygiene,Item_Type_Household,Item_Type_Meat,Item_Type_Others,Item_Type_Seafood,Item_Type_Snack Foods,Item_Type_Soft Drinks,Item_Type_Starchy Foods,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
14.6,196.5084,39.84052208493257,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
15.85,107.6938,14.641980740323353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13.85,165.021,63.859415907131506,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13.0,45.906000000000006,28.963908576019225,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
7.645,42.3112,32.63862742212056,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
11.65,39.1164,17.57643877467788,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
5.925,45.5086,13.357933971988333,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20.0,43.6454,11.217673555599664,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.25,55.7956,12.797921706277156,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18.6,96.4436,52.36186016558235,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
18.7,256.6672,55.38958746912636,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
17.85,93.1436,46.63156441724854,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
17.5,174.8738,45.66492746079862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
10.0,146.7102,61.57162658237965,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
18.1,128.0678,52.89320939402335,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
8.85,122.5388,40.12361399475376,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
11.1,36.9874,19.70181209939837,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
14.8,87.6198,46.69577068643369,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
13.35,230.6352,58.61337731269202,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9.8,126.00200000000001,46.37385039006358,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
13.6,192.9136,50.27302258667167,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
21.35,259.9278,82.2710325691856,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
12.15,126.5046,19.326505116031715,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
6.42,178.1002,18.92618292207914,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19.6,153.3024,49.283246646299595,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
10.0,265.2226,76.25678461619006,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
15.85,60.622,50.760673754393764,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8.0,196.8794,27.934165460954798,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7.39,143.8812,55.987377148782386,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10.195,141.5154,29.170059993081946,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
9.895,117.0492,28.477085525032226,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
10.895,196.3794,55.868330921909596,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
12.15,151.4708,69.39067372493223,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
7.905,249.0408,79.11080836396503,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
9.195,106.1622,46.01351975235105,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
8.365,38.0506,28.230526031230802,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
15.1,194.511,70.07335442234802,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
14.5,180.0344,29.869248400319684,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10.0,246.9144,56.437462735314384,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7.97,87.3514,32.59780360699168,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
7.68,38.2848,22.01595784879686,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
20.75,51.0692,12.157614897668045,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11.5,255.8356,50.43169638233479,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
17.7,185.4266,13.58037554709,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
19.35,172.5738,69.75432889792576,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
13.65,186.024,33.44464082629682,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
17.6,164.8526,47.98266770407832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
8.645,95.84100000000001,45.02622569125687,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
15.6,170.1764,58.61337731269202,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
15.85,59.222,24.47897056659042,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
18.25,164.7526,67.85773942594905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
7.855,189.6188,47.80194138316978,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7.825,254.3698,74.7043211601578,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8.39,114.0176,47.85762217243979,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12.85,172.3422,34.743278486636804,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
21.25,89.9804,25.36065456568501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19.0,104.9622,39.84887702307306,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5.905,222.5456,72.83607897189414,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7.76,101.87,41.20424735388331,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
11.8,180.3344,37.78194277694042,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16.75,187.9556,68.51196975711616,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
16.35,194.6136,24.150378879015545,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13.35,171.3764,55.60553209888383,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
15.5,177.0028,49.79396750611463,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
6.055,160.99200000000002,52.119708364494905,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11.15,155.963,57.32122643489059,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6.305,95.6436,25.725574823509774,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
20.85,117.2808,39.0301217010657,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
20.75,122.17299999999999,19.22287699591297,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8.895,39.9138,26.276122240543792,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19.6,55.1614,37.169005905458384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
19.7,57.893,24.95041081826109,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9.8,114.5492,35.69791590555393,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
14.15,120.0414,22.07635839535135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12.15,246.046,35.09601116936226,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8.75,187.4556,61.2789686597286,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9.8,149.9708,66.05795334401452,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
8.75,187.8556,36.25312676170153,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13.3,151.0708,42.49293588350892,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
20.5,178.5344,53.43173588795333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
8.31,179.1028,62.42004165330235,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
16.75,38.7822,25.84177625473915,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
19.75,212.0902,56.44336099135132,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
17.1,141.1838,47.41034486269848,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
10.5,163.121,42.359544379041665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
6.635,121.3098,50.306120899946166,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
8.27,225.372,26.059854182247452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14.15,41.4138,28.50045613670069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
13.3,232.53,26.44031013433844,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8.89,102.4016,52.27277685373143,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7.855,176.937,13.28295900769102,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20.6,121.7098,64.01041477759694,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
9.1,173.2054,56.141759858415554,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7.5,239.0906,77.08608823905907,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16.85,192.4478,69.59665940258914,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
7.485,109.0228,50.418492639110106,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
11.6,140.3154,50.524025967850186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
11.65,227.0694,33.791226672022425,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
13.0,47.5034,26.085390547200937,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
12.65,159.0578,45.672216937652586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
20.25,92.512,13.653717442513596,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8.6,190.153,55.10034482650721,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
12.6,62.7194,29.442683301628605,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
17.7,95.041,29.476583926907132,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
14.15,82.4276,33.72219447189047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
19.25,52.7956,30.465147299824434,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
8.88,151.7682,27.61052335614086,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
20.5,40.2822,26.59096839154227,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
7.27,180.5976,89.26530344988471,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
13.5,160.292,37.922658134682486,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
19.35,224.4404,83.5239630285824,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
8.89,101.7016,10.05990059593036,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7.855,188.5188,30.856020482233284,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7.235,116.0492,44.37833255091949,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
13.5,165.4526,72.5429748493953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
6.92,60.5852,36.25312676170153,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
9.3,90.8172,23.13662032363413,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
18.5,132.1284,16.23751212470679,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
8.02,154.5972,37.44562457751239,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
9.195,105.1622,41.155743220114495,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
12.8,105.5938,46.30200859574021,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
16.6,177.6344,51.735055813249105,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
14.0,53.06399999999999,30.091327654325923,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
18.6,246.3802,85.85106871786745,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16.0,226.8404,79.37966490229094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
17.6,160.692,39.973991544503036,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
21.25,178.237,23.006759876175526,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
7.235,117.5492,44.37833255091949,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
14.6,50.3692,32.16602555492363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
13.85,161.52100000000002,42.359544379041665,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
13.65,197.6426,52.61555283373919,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
16.0,31.29,29.980493658377277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
7.365,226.172,56.29571919782178,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18.35,223.5746,59.91655530819508,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
5.465,132.5626,16.19645640255917,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
18.6,99.8358,43.705608335773114,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
13.85,140.9154,41.25269445745332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
14.0,154.5656,49.7136761867396,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
14.0,54.763999999999996,36.491094804075146,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
17.85,97.0094,42.5320890622598,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5.905,222.5456,57.581976346770176,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7.27,114.2518,51.17217407927867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
6.155,214.55599999999998,52.6282053655642,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
19.5,233.4958,73.31441468087978,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
15.2,216.8824,53.281996959573505,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
12.15,125.0046,41.75002275448482,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
19.1,198.8084,74.53479187600915,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
12.6,61.9194,24.883609062995664,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
14.5,164.821,46.04967969486867,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
16.6,173.0738,61.83060407274055,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
11.8,151.4366,36.88128793846549,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
13.1,178.8318,63.00396495459631,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
17.7,115.1834,18.588980606800362,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17.85,196.5794,24.1916969227047,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12.3,92.6804,31.79126295069134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
11.8,81.4618,12.693447128341457,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
8.895,42.1112,6.527725484424111,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11.1,157.4604,54.87027975142828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5.905,153.0656,77.61545206980374,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
11.3,198.1426,31.443807021415203,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
21.1,117.944,15.481860353329635,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5.75,112.8176,37.07035473258922,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
16.2,226.8062,68.84642474377301,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
11.35,100.0016,31.812198918025143,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
15.85,165.7526,25.64781472172629,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14.0,130.431,27.910320671751517,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
19.75,179.766,48.34209345901355,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
6.525,85.0882,47.25561553931977,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
10.3,103.9648,40.76563258432279,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5.78,264.7568,68.88992959787373,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
11.85,164.1526,55.89811624732984,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
16.35,50.1324,21.619241429800446,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
10.895,182.5976,71.20907807295359,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
10.5,37.6164,23.25144296597525,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19.0,48.0718,31.50726582869418,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14.6,238.8538,77.51674012753632,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
20.75,62.9194,45.88310800283695,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
19.75,232.63,73.20990370161677,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
18.75,104.62799999999999,27.30743488502719,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
5.26,161.8868,57.234045811911635,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
18.25,140.2154,41.25269445745332,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
7.145,177.937,81.88165850787342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
15.1,242.7512,64.18699556763815,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
15.5,81.5934,18.098994447206177,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13.65,45.7402,27.946080226035278,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16.1,189.3846,60.25452182201764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
16.75,107.3622,17.820959570124163,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12.85,39.7164,15.221642486932874,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9.5,32.99,11.539497389401324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
13.8,245.1802,75.17076958499227,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5.78,263.7568,51.34752184867347,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
19.7,96.0726,35.66992851128244,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
14.65,161.5552,18.025271149139478,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
6.67,130.0626,11.452624153441866,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
6.11,131.2968,16.155296345161855,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13.65,260.0936,16.155296345161855,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17.2,160.6578,60.749727571405614,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
6.32,40.2822,33.75179698919748,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
4.88,52.9298,44.66992948281875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5.425,88.3514,37.640701374974405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
15.85,37.2506,16.29890180349584,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7.5,121.7072,59.60460384903166,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
12.65,161.5578,49.05983081911311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
6.67,211.956,14.596437921630057,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
